load_t0,load_t1,load_t2,load_t3,load_t4,load_t5,load_t6,load_t7,load_t8,load_t9,load_t10,load_t11,load_t12,load_t13,load_t14,load_t15,load_t16,load_t17,load_t18,load_t19,load_t20,load_t21,load_t22,load_t23,load_t24,load_t25,load_t26,load_t27,load_t28,load_t29,load_t30,load_t31,load_t32,load_t33,load_t34,load_t35,load_t36,load_t37,load_t38,load_t39,load_t40,load_t41,load_t42,load_t43,load_t44,load_t45,load_t46,load_t47,load_t48,load_t49,load_t50,load_t51,load_t52,load_t53,load_t54,load_t55,load_t56,load_t57,load_t58,load_t59,load_t60,load_t61,load_t62,load_t63,load_t64,load_t65,load_t66,load_t67,load_t68,load_t69,load_t70,load_t71,load_t72,load_t73,load_t74,load_t75,load_t76,load_t77,load_t78,load_t79,load_t80,load_t81,load_t82,load_t83,load_t84,load_t85,load_t86,load_t87,load_t88,load_t89,load_t90,load_t91,load_t92,load_t93,load_t94,load_t95,load_t96,load_t97,load_t98,load_t99,solar,wind,coal,gas
25000.0,24931.022279529498,24718.061786059436,24944.962544492482,24711.52508804497,24895.336350409674,24687.006591853922,24677.51234485924,24750.363326897717,24615.71330056659,24542.44925871301,24671.34336649504,24596.277866855642,24697.039061435065,24637.154117024453,24770.270419141518,24948.124745081972,24959.024794564353,25174.61270554266,24959.0030071908,24848.199555514828,24879.793917260708,24640.467960994978,24532.908461136965,24312.120055267966,24501.008806057216,24369.860863426256,24579.761430779596,24722.918610396326,24770.67854466433,24811.607814202842,24833.113329434513,24986.264815508934,24737.63875385084,24897.22650765199,25054.921600886137,24877.650042227837,24701.844719436584,24553.284845726095,24442.411751790514,24589.985968573623,24652.76126407811,24825.51944338536,25059.592807005694,24998.205431424627,24920.501023524208,24984.041404696152,25075.279948798292,25056.356704342295,24898.022488444898,24772.926181232015,24639.191815718,24820.523080305302,24874.36585986443,24761.743969090512,24734.32774406873,24878.470492508444,24890.758154167976,24756.614002610357,24808.536559013235,24603.19898124722,24602.67377953031,24687.79518989719,24528.601374523456,24446.32048505549,24275.617771694346,24461.7382178515,24359.169158857312,24302.910410769327,24555.83129591943,24416.619739357924,24219.51200272725,24187.57653993793,24242.24394742328,24241.91679303056,24252.315524178142,24062.974719603902,24285.519466011872,24471.56292185025,24574.128912870976,24703.492275648223,24500.681003339512,24466.937304675583,24375.573942021958,24616.103209172143,24641.13808434421,24897.369283251584,24846.742970469284,24945.63720625464,25003.37122028426,25052.564125240457,24965.925375825933,25194.298087272586,25149.90780994868,25021.60993226413,24822.795470846417,24874.520616281832,24795.82570409628,24641.827625012098,24425.294289014648,188.7286213581158,1874.4040814362293,12000.0,10000.0
25000.0,24882.837961110064,24806.75888397511,24626.884667373743,24617.36536500038,24733.866616797877,24790.597625804992,24977.46158867325,24993.81145716022,24877.388441099825,25004.01593470719,25012.483975456533,24902.686866921125,25120.343521343322,25095.725667898554,25257.15597631883,25308.02815942371,25198.228020742554,24953.637486293614,24796.725240201384,24601.645543359584,24685.62439679175,24850.032615030297,24952.453795226822,24882.74937751757,24963.24094644085,24724.691643398175,24927.000667439705,24769.09561453448,24578.026012705453,24415.87358589902,24255.921220588287,24413.84749204495,24389.546627290474,24585.002929141992,24431.070781389244,24548.627869207252,24658.80595092848,24705.709473403953,24481.331016887958,24553.42345253368,24535.16161829817,24518.35719145678,24317.46311763461,24398.148261946553,24439.35920604948,24480.297741377006,24438.68681260135,24460.660175083685,24326.435573571074,24440.476804445912,24445.945125480175,24606.969503147135,24617.370958494914,24695.123084988038,24784.533454933055,24980.219557626875,25077.56588740486,24999.86635351459,25093.73840066314,24839.16294095839,24872.57657961271,24879.56373895068,24694.47888852816,24605.06416274773,24493.335445156292,24299.453095253408,24308.13313096897,24288.088846131097,24379.153499845634,24279.138256784918,24467.13418771831,24568.55832340351,24413.86939076473,24280.4537863516,24195.752865088205,24047.077974604083,24068.121370058205,23916.171250817675,24049.50562978611,23912.916618373743,23991.180233290608,24188.290637442668,24047.67674863185,24173.07381255146,23989.401759336517,23889.496942235106,24064.2068414614,24354.205633382855,24549.060950830848,24425.450566986074,24349.235704866427,24385.996423072083,24630.650787731414,24468.466339684754,24298.949081487688,24515.065669294938,24443.63006482039,24271.593799604238,24495.25662672352,1870.3524708633163,837.443026313184,11984.458665928567,9217.582616033234
25000.0,25195.088006966813,25253.228961637495,25169.29033718569,25336.66557995095,25474.81519228163,25541.598580561396,25451.52526362035,25568.582428108715,25630.689908263408,25375.225842407137,25178.68424793346,25276.405309345228,25354.376600427506,25260.22144829581,25019.73461920292,24905.281262362576,25009.08186654635,25036.38759240175,24849.160343689546,24726.41281007906,24552.211934794504,24377.810703580133,24336.207955857728,24526.815106350412,24390.00937238908,24245.71589646168,24192.97968439151,24363.92065873438,24492.23275186297,24707.217946172874,24516.996562279426,24546.62842691618,24805.66712344502,24594.63666127244,24832.498582006305,24698.990867686538,24514.04722349992,24738.057037057246,24928.057394550287,25032.47808148748,24969.035137927753,25076.09253219336,25076.628296105522,25023.472361723838,25178.802260901928,24972.655729661925,25124.60130459034,25221.03516661084,24991.52519894179,25089.056268407607,25159.58086777538,25180.117524386045,25376.181797994697,25218.427800491438,25409.5783354789,25543.073654284526,25720.403157191708,25721.95192571331,25730.412653847892,25494.132244478307,25667.51032322539,25626.74819881594,25673.128587175484,25681.87898620232,25821.605177353176,25841.8224599914,25907.50850667777,25679.64764308326,25623.371452925272,25538.327201339707,25558.93561581683,25366.71774211219,25549.605076842163,25670.40957762628,25539.215262218186,25273.412601099615,25372.0730074978,25285.640122283832,25214.920001549406,25441.726824894857,25637.621303001924,25779.313566217785,25830.977571696156,25732.711105479175,25749.135513884605,25847.997668925273,25990.091697470365,26050.849088530034,26088.797012567265,25843.859275292474,25745.24846763623,25944.21764829653,25875.522603039994,25937.15912323734,25738.23056430225,25919.746227438052,26087.455480602155,25848.10236902626,25867.490263089472,432.16694885298625,191.75159559722726,12000.0,10000.0
25000.0,25150.109757018043,25282.96504992847,25135.983152964585,25159.643039051676,25240.790089287882,25408.79045918197,25588.8178614042,25445.46900934668,25600.112960598097,25740.49785033001,25757.456326431253,25728.350250305703,25528.91766609709,25337.835563733017,25147.194653957235,24974.011264928427,24890.6211138675,24781.418362293647,25002.238494446035,24897.54832137338,24796.37691266196,24943.922740662736,25056.043471765475,25192.032726376005,25294.738030256387,25302.167493782315,25328.96693422101,25392.527421063634,25377.821978117332,25363.733942890474,25384.936319228844,25348.590473723263,25580.829095455127,25485.815614517996,25632.026445477433,25564.850000412378,25510.065073068916,25250.052280550397,25331.069005093836,25125.064169608035,25124.252071004943,25280.616502527588,25249.798141854288,25118.84288618904,25263.786843254697,25271.80802120032,25125.052361687514,25357.56934767339,25575.380476418028,25652.116968436814,25703.138309344202,25848.45287503551,25607.987730376746,25356.84128758107,25104.47903539556,24903.70601050975,25102.643103081347,25247.316725819088,25391.290178415107,25155.154924112245,25050.32118627002,25011.98587176373,25179.969482853674,25184.959981487988,25108.588243052985,25205.90808868684,25408.785488146936,25603.364427161883,25478.343787152284,25467.189982484837,25325.274195827722,25457.393785890545,25486.276309708028,25662.423954866656,25556.82031214682,25526.834707259623,25328.79864084841,25493.200149761207,25698.930392097758,25774.631325708615,25771.74459529975,25921.983937029065,25847.215208263806,25636.26266023119,25611.436419666024,25657.46915069401,25382.519367787794,25333.066878777652,25546.421165022657,25300.842718402935,25178.086891809988,25082.44171631411,25051.767393659684,24935.69033914574,24920.135066534036,25134.03072876098,25361.618430869574,25326.633716661105,25198.132157542954,453.1146031444806,2362.1957843844843,11973.12067775397,10000.0
25000.0,24931.044771824734,24880.95248736063,24774.36827518231,24810.848425251697,24760.71851992728,24590.271545105097,24370.810559299814,24206.819589321884,24262.41618471758,24227.751653607524,24418.772775955287,24511.378117492946,24710.563156525957,24567.610788515613,24374.90601364334,24438.889689547083,24335.09028377864,24186.2580490011,24004.639684517344,24071.255536579494,24272.07658973162,24246.57579473752,24100.417730931327,23933.715785578337,24123.777586044624,24322.844217246056,24527.974378990366,24591.689852198357,24768.78440783942,24613.174826715174,24796.863351848453,24817.09903967836,24986.45328749806,25072.961390543038,24833.66185124821,25080.40566355902,25247.86315780574,25194.541593176516,25262.88970325155,25341.614744692426,25128.05600912003,25350.612394769654,25199.839129967175,24955.584547853035,24926.923359545905,25156.655710318963,24902.308626652426,25035.795581213948,24937.499928806476,25161.027915040737,24990.523830643957,25000.442015767087,25202.647833092386,25112.66876541991,25301.3003699277,25143.780050162834,25170.47759323131,24962.44662446563,24794.937304314833,24661.995395016427,24915.897020928027,24946.540572960224,25031.802105700037,25071.898147559987,24858.95638889954,25031.21021016924,25063.49023864743,24810.43299466363,24704.082421013492,24649.753938140097,24830.43598924216,25007.05405227411,24793.206128438178,24817.728451755625,24845.90574854835,24932.66730242371,25080.626066372995,25139.274569710073,25104.56640636772,25024.303259074637,25160.094487115974,25154.833697743838,25137.20943068931,25021.205068695923,25114.86658118836,25045.073115834828,24878.62011858582,24742.899205728983,24528.165559959813,24386.27477583696,24413.79074252717,24248.987153729053,24454.45243298215,24595.2332282862,24539.194652422542,24589.08580212469,24770.872145259244,24609.874693254027,24576.72449979556,1980.9314955682398,4000.0,12000.0,940.8269916720396
25000.0,25160.075296405594,25343.40734705355,25171.575310337965,25366.181290461853,25559.26598016856,25573.704496337534,25603.28820224796,25499.035762613323,25316.186245769088,25178.37187663152,25419.173386277835,25296.797316145246,25320.274370762774,25301.370047738954,25405.439887590554,25479.321174508354,25392.09186140474,25373.086058291898,25152.35547971183,25331.64938048241,25531.67018893469,25602.430246186246,25805.125131830646,25603.282131421605,25787.696522703238,25540.59613834662,25314.845764168163,25539.72234287765,25297.913762551183,25249.744539758667,25280.8149775057,25272.75755359512,25463.45978209177,25615.37650544494,25831.37080755885,25736.02255699502,25819.86038349046,25690.017512630864,25841.514187054272,25831.407565911457,25697.48948911811,25763.504394573683,25962.31620274658,25885.054124829272,25840.64169594006,26004.948948446407,25921.228205235664,25764.027739138503,25519.59590208275,25338.358677096727,25475.55003323681,25275.16821459128,25163.576374021184,25210.46696476358,24991.565326387983,24859.600643546793,24764.972283149516,24996.61488958686,25216.49037218077,25215.598179391338,25067.677452413936,25104.89047215317,25263.848447854627,25415.62890955312,25378.367768411477,25239.039221411567,25029.34085776465,25065.191442921037,25231.85588902536,25320.667418246558,25416.69937117455,25387.348678761926,25601.163018831707,25635.487589126235,25550.682093260246,25674.3302162893,25565.978439400402,25620.157345025444,25510.00407492902,25683.565709640046,25440.94630212354,25223.484758818013,25249.80278374671,25030.347162167505,24954.86887850394,24712.998003087105,24549.60769766724,24668.16740102154,24582.621186500248,24639.810320100907,24443.304268835804,24343.604680341658,24238.95954351729,24177.802139219755,24088.923402795925,24122.148304332837,24040.802699573553,24240.82570607489,24357.111695945452,304.46100361164775,1960.6975011075076,12000.0,9832.631151219512
25000.0,25008.936153205024,25114.643436632698,25247.58620227092,25470.554034302553,25457.213353435873,25210.066051654303,25317.10298068971,25165.776855313412,25267.295835513687,25146.175353262086,25186.06361423559,25381.35980465295,25133.921582166662,25069.220600267225,25306.356808556808,25539.51567778129,25397.041731636407,25440.854840962893,25321.373480218528,25493.163355176635,25648.547170527963,25582.648812192925,25672.78472604544,25884.878135612526,25634.05165212944,25518.970812483443,25535.93868955025,25417.160891434254,25192.342876397095,25213.98581084443,25226.075081862087,25272.961210239897,25333.698092516715,25527.562820269584,25267.878995434752,25374.186633819703,25534.450773904697,25621.58758405707,25435.001180999552,25606.980931118756,25658.493569333685,25742.14438868023,25521.48600140038,25707.24765753802,25769.533649211426,25803.34891164069,25992.444193085914,26080.117759579665,25960.338879164297,26066.460160913288,26104.805289817723,26278.35913867002,26059.61186075552,25846.442022771458,25954.420112382228,26045.93908074511,26182.83379944335,26280.293396890916,26110.662664714833,26050.880638090683,26062.592281026635,26143.04066077242,26080.622166047542,26037.10022863655,26002.581258232378,25956.409635296182,26070.654880395938,25845.55320751644,25769.16241718193,25925.782532167246,25758.44234764051,25934.60889919263,25826.03686817733,25924.2875515361,25936.999612598927,25968.8243727982,25720.246860364477,25911.98644633243,25953.93803803957,25854.75094167915,25708.656480054957,25797.20108637472,25683.214608333845,25402.40899840015,25604.782775151685,25743.10242739086,25737.506062172142,25695.204839634076,25751.634613039438,25669.25020551919,25527.125522922324,25613.515337128498,25748.48357185618,25660.148584501363,25422.356764600474,25624.75317697766,25397.955699000166,25148.294559411475,25303.57233098668,1988.4805100852823,4000.0,12000.0,1043.9386889000007
25000.0,25057.58877311229,25030.059915357517,25092.551754660715,25142.78042748466,25149.828061230273,24903.987698238692,24694.05741767212,24926.60306784944,24804.113977421257,24606.328204226887,24541.743195845218,24523.25971248564,24465.447496975747,24683.047191680726,24510.040932321714,24773.90816749313,24918.720134000796,25113.800490293976,25316.76365965849,25058.34273763231,25292.28502789641,25349.05952211495,25230.54264516279,25067.281010368322,25199.34670248509,24955.423844598037,25032.435255265504,24896.346760438642,25047.242121289448,25109.103884801407,24985.469155920826,25185.329584689924,25094.762287561687,25262.073291055072,25388.91938688188,25290.88987496703,25464.752350390867,25298.969608728108,25071.783402720062,25165.43014913066,25226.764416093098,25256.468445682345,25429.59854510543,25445.93745610512,25338.04182971284,25232.228873497952,25173.46299788732,25219.41590869095,25234.132010210567,24990.455363588422,25017.90710452984,25012.152799476484,24796.630971604598,24651.911866601815,24726.901345114966,24571.929363647785,24793.70211974151,24724.75352505203,24728.22654111654,24787.895063301417,24968.04562109892,25116.8974970033,24879.736664939664,24801.39622568499,24635.226338991084,24638.5447877317,24466.857902223863,24417.29524814338,24471.874155067708,24415.871011081093,24551.780396779097,24472.88514976227,24612.219050848984,24742.87969648747,24640.246366290266,24642.49793572462,24658.154606997636,24701.121803327092,24631.642763849755,24896.40461812161,24792.963906073142,24570.70440531913,24354.9532219858,24148.548908144,24307.763558720486,24382.091121247027,24242.10279959907,24426.19805019426,24232.264312046136,24332.937072334593,24475.865417828318,24609.278615699735,24537.00838655581,24437.741065531805,24662.19663556064,24552.60117687762,24708.758235757607,24549.517046400946,24798.477819917276,579.8460760637852,3311.1332034603024,11951.587559191277,8349.76819224396
25000.0,25168.76714010545,25291.814078693642,25457.43760110004,25486.403233779067,25242.81135042648,25216.377935736644,25214.983676657914,25184.462410563247,24963.219092096344,24775.27092061588,24797.04100793045,24818.06080159155,24647.244430937553,24557.795698050148,24531.54663155664,24528.00968303458,24745.29830521012,24700.25009671526,24545.713324069235,24634.192073065897,24691.074409253324,24548.966197190264,24427.562968233527,24549.80884674554,24766.483917206075,24774.672218670217,24753.412154643345,24882.275961291794,24847.43651411817,24734.74043200183,24704.85608264103,24598.542615915514,24732.867674946476,24849.654438468984,24861.683616767154,24798.693350593057,24811.813569063797,25028.531948511634,25228.81934774023,24971.408126175014,25214.368131085666,25093.250225966283,25272.566596108845,25115.80944168758,24918.56863085369,25055.504707552864,25230.181903604476,25108.67350664561,25329.52756416284,25534.188185908566,25371.19016897312,25180.668755554816,25005.945353183535,25094.877413150592,25091.966467913004,24981.090864138612,25224.38787191324,25280.438273028576,25510.821299495285,25685.393378701727,25799.71877298408,25666.01963348243,25460.935743543556,25278.540213992397,25102.15729146041,24865.088167407506,24659.649705222586,24682.26273522868,24756.90897367514,24838.149176866278,24648.535999696323,24590.619591475588,24635.421136989626,24615.89850886926,24791.550708761624,24907.837519435736,24816.350526159855,25028.580519817417,25238.673749994414,25395.294221204214,25393.15509347314,25213.970374420427,25349.696920089613,25182.610395385826,25021.201214750614,24823.224082189645,24744.903063902253,24670.95483591131,24553.386419102284,24394.23126605968,24345.519297587347,24574.406174028638,24427.238711816637,24210.072329085877,24154.566958632015,24021.01076199464,24140.316398196377,24176.228597889458,24274.889509445835,134.4422307964332,1891.9079568424884,12000.0,10000.0
25000.0,24897.12679443792,24846.556042181954,24795.458184365125,24715.765852602875,24838.057584655082,24611.893783668813,24712.428094077542,24711.419168428623,24607.33302192531,24438.7392544279,24479.927956022646,24333.327848293186,24126.07400640591,24066.086489691363,24158.969011140864,24386.584144164728,24399.497311978943,24366.721478769836,24559.65901915215,24468.9756258227,24719.125133564077,24897.047730806775,24999.710701877637,24872.70354133182,24829.772414460254,24767.54468038259,24925.785378425277,24789.16828020097,24905.155273672335,24917.646432313784,24854.264137541584,25022.926310379044,25182.912483786396,25122.24046230293,24873.186554678363,24684.313359478405,24839.69306143674,24751.53454612831,24665.304968945093,24874.100337688327,24961.962358051143,24903.445615505487,24936.696645250435,25078.55838234118,25269.74937464923,25402.1639371545,25418.205182626567,25468.731225908887,25226.10074415238,25448.733246960743,25387.215450852866,25133.81005989863,24903.66168527522,24687.415396915912,24912.422720699462,24803.272325687114,24642.1108634046,24750.774063641722,24975.86661982767,24969.775723843763,24974.19593086237,24931.468607257983,25051.61396890661,25141.14000332588,25159.8847617994,25284.737556310964,25404.30134086685,25207.73474631927,25306.512584029566,25522.243044890907,25281.238614926297,25464.377729881362,25346.170837112244,25180.768913113367,25108.194514282743,25205.710542791316,25064.094600389766,25216.660882984306,25154.28892277893,25206.761726169705,25089.507074397236,25091.046417984056,25313.857711168002,25056.430383445437,24857.863161760644,24635.8175717292,24797.087986592294,24966.654717156976,24786.627585482223,24672.988246405686,24517.16283873463,24638.48327767224,24773.82236924766,24657.065039874393,24645.71045553777,24624.080311479433,24618.757149259905,24437.22055476409,24419.527172078837,544.9220768947368,250.77719393767208,12000.0,10000.0
