load_t0,load_t1,load_t2,load_t3,load_t4,load_t5,load_t6,load_t7,load_t8,load_t9,load_t10,load_t11,load_t12,load_t13,load_t14,load_t15,load_t16,load_t17,load_t18,load_t19,load_t20,load_t21,load_t22,load_t23,load_t24,load_t25,load_t26,load_t27,load_t28,load_t29,load_t30,load_t31,load_t32,load_t33,load_t34,load_t35,load_t36,load_t37,load_t38,load_t39,load_t40,load_t41,load_t42,load_t43,load_t44,load_t45,load_t46,load_t47,load_t48,load_t49,load_t50,load_t51,load_t52,load_t53,load_t54,load_t55,load_t56,load_t57,load_t58,load_t59,load_t60,load_t61,load_t62,load_t63,load_t64,load_t65,load_t66,load_t67,load_t68,load_t69,load_t70,load_t71,load_t72,load_t73,load_t74,load_t75,load_t76,load_t77,load_t78,load_t79,load_t80,load_t81,load_t82,load_t83,load_t84,load_t85,load_t86,load_t87,load_t88,load_t89,load_t90,load_t91,load_t92,load_t93,load_t94,load_t95,load_t96,load_t97,load_t98,load_t99,solar,wind,coal,gas
25000.0,24970.82915222173,24762.028157734516,24551.53173390252,24575.80172400326,24381.451772365683,24267.183698922418,24272.01692823693,24185.29817351174,24016.381825838344,24013.787105602492,24074.344393554707,24092.911822586273,24236.819316954716,24492.49636476367,24434.381336533585,24305.59203614101,24408.276704451244,24280.145637902566,24553.91189646733,24648.54263740155,24821.136905126514,24580.78787043331,24783.423575436198,24859.114009370238,25106.199526960725,24871.18218471989,24723.243809475753,24685.695407456933,24893.93065712134,24653.607775714452,24561.1167275765,24483.01360601218,24654.99371835064,24558.828061041226,24626.75116885297,24463.05859463332,24269.78017612429,24155.469189300515,24138.051556761515,23987.271480162788,23953.289527944326,24210.03769560858,24284.577971025537,24354.807891867425,24429.69170808963,24242.18229900303,24284.22111427153,24451.875297887702,24641.899048828767,24858.412754750138,24987.636414496854,24983.235604790152,25164.923211663994,24913.081675402515,24997.247250035107,25242.939717955323,25401.632229841078,25510.4660224034,25428.341791219034,25284.710673867525,25411.713921310627,25489.648870178113,25580.63210100861,25328.509009359484,25091.29229737283,25075.267409414566,25264.990646672853,25040.351021699335,24931.47166874087,24707.896813741256,24953.158722484728,24946.432044053297,25127.123460585208,25056.579447503555,25081.169045120198,25303.29039141645,25362.304109678847,25278.495661500903,25056.597271058778,24979.811531881714,25051.700317495717,25142.2620579812,25134.379223284956,25017.748569743213,24904.24515477571,25158.098769646993,24932.56545605184,24941.749942052196,24932.416834859796,24739.470853795545,24895.505488277882,25109.289279769488,24978.359034902318,25000.476446847548,25165.65780996436,25170.388135045385,25334.782808110715,25121.271915013436,24893.07288061154,0.0,3000.128250333735,12000.0,10000.0
25000.0,25059.514989591356,25152.144266241045,25257.596153488113,25101.28261861573,24945.98241219727,24881.508622068526,24816.400154943436,25073.542397927296,25192.036512951214,25060.78904272988,25180.272473962887,25196.27959996325,25341.163959545283,25133.370728040733,25167.98430872547,25073.31629712836,25046.887459303125,25073.572049841365,25165.388220446184,25231.50528805635,24994.049171620085,24758.02769203854,24671.68736166556,24459.424414718105,24483.397838268895,24381.553086014133,24393.04360267653,24610.10751754316,24699.80084798135,24646.77459339758,24886.322151089174,24892.88734911553,25059.629403892905,25296.34856444127,25472.796875752876,25658.92189961852,25557.372504983727,25353.703234459066,25485.918697681256,25454.4139272475,25378.631088994858,25446.60829851784,25349.415231154766,25470.729851318607,25207.473652425448,25085.528733224448,24848.314437272526,24941.976254387053,24698.958109527222,24619.163546557815,24829.73806213668,24976.40765748338,24959.22374496937,24715.561130599828,24561.199668768022,24500.827606122613,24589.475046230975,24740.368715750752,24566.434121110266,24747.064853196407,24708.589894813198,24722.04419034948,24583.00692102068,24563.224993394764,24506.509306280826,24529.3130714207,24389.449867165058,24338.39755374013,24504.464899764043,24341.632368915667,24156.558601246506,24199.378232007308,24258.087434144385,24408.197164896945,24273.836200013753,24195.317081046134,24073.69927747998,24032.505232492982,23994.469878573076,23813.946419737276,23846.31810821352,23883.23905809276,23690.672805226353,23845.981458013866,24013.045389809726,24115.441432658445,24070.06945807061,24287.22867800663,24447.382692747848,24486.883133952764,24498.04195002444,24672.85959654247,24558.061115982684,24557.45285054805,24329.791628434832,24431.21837637272,24422.217516693083,24238.64534261801,24031.74340556238,1879.04418035262,1825.3946284774784,11249.310409686168,9893.929786981043
25000.0,25207.52096428437,25422.3419739972,25189.69100222297,25292.839245945834,25280.399541959174,25303.89581644407,25255.57170436378,24998.738294382925,24837.072668297922,25066.986297666146,24878.60580499666,24974.488382164083,24871.79661802617,24982.48642473243,25000.687525049805,25218.264318941474,24981.814615060215,25170.50989264592,24933.68215014545,24779.700964632186,24690.94271537684,24683.160950127334,24895.366401847194,25106.50863210378,24931.551948145618,24728.12346003515,24643.86547076194,24504.82960345138,24615.44749758165,24402.230665808973,24652.341676219745,24682.678118574862,24833.04278757547,24729.97258858067,24661.330500793956,24633.136501936744,24818.693205711326,24727.0777890169,24551.795330908233,24602.826550502294,24642.6785972658,24623.155685437916,24643.007243628574,24584.804385635427,24523.296721823543,24359.58478854099,24458.392314951725,24691.062751571266,24873.57756469077,24851.144200543044,24615.956223564935,24550.981952524387,24700.83914320268,24580.813830428895,24385.909153786648,24194.434777344508,24176.042755040053,24265.22395524492,24284.854500622514,24541.67562458514,24782.685252210315,24549.622109468837,24650.383646900074,24646.502142176523,24574.52857633659,24637.645114455125,24506.555951573697,24514.24230553194,24768.40113883221,24769.89825386274,24757.26911228473,24673.947408806747,24688.809068108567,24787.775283493203,24905.57888923421,24951.022633158784,25011.20664262613,25075.79639231806,25268.674013742588,25434.11901521687,25163.64120354679,25004.90208875009,25119.44084135947,25167.438309004734,24956.62799883344,24871.461635245032,25032.827028927088,25219.675824807608,24966.55611221627,24901.059125065618,24959.51111300068,24837.4408629641,24762.138760705486,24608.757169435034,24686.524782209544,24554.263883059168,24807.426156103724,24580.787548107437,24833.449926040666,0.0,4000.0,10993.180285618198,9999.94720260787
25000.0,24983.40601577355,25058.18265349265,24969.530757450837,24770.007552150444,24759.503220967308,24645.400862970666,24549.830244218283,24377.57372864236,24311.136005783934,24124.823434966595,24020.57181152839,24094.45559454187,24090.81367766217,24104.85445477432,24080.966526269003,24296.437245780202,24214.90061702469,24470.57127232897,24407.507769974378,24633.051680534372,24672.60710367172,24892.93232893951,25093.144662444887,25160.870939067,25090.796995440785,24843.04778372529,24677.12826101652,24732.724619472472,24628.61824498064,24812.52070913031,24786.713392754322,24866.996406718474,25017.100924962735,24921.533861362714,24805.619124256737,24993.12332661023,25238.897913377652,25097.114986177752,25228.21312720834,25448.5488628017,25661.97912064809,25496.960663554328,25712.558661613777,25767.622638109657,25526.61684981372,25734.38784543972,25582.406690928045,25495.34925934798,25377.823441976914,25308.32078609354,25504.28672964256,25608.156610262675,25449.953748137454,25409.1841513791,25362.7828564678,25440.17336478008,25333.160156734342,25144.38432763272,25242.858017761744,25418.83847403138,25430.606537086132,25228.434183937108,25033.850064394825,25006.553546055202,24991.32642547537,25010.309392582294,24763.19858450677,24837.31365664402,24692.464181509924,24575.497511415775,24441.749852717727,24561.39379372179,24506.08884383739,24397.029304398304,24641.366089699713,24587.712744129396,24561.240578057004,24756.715044439377,24677.487265164804,24886.693508166176,25098.765741387848,25146.44012741783,25237.2555103486,25199.204617995627,24968.00004798426,24817.27584933108,24640.094415443873,24497.750299774798,24353.21713062434,24394.619470660356,24341.64849032362,24358.587742925887,24625.18140166387,24728.17526576684,24673.934393841784,24745.343124692463,24755.662739140997,24785.034643952265,25020.539718302836,1999.045672061282,3999.9828815719784,12000.0,7078.224197801063
25000.0,24781.19134570762,25012.391926883232,25100.381590901947,25257.84717066233,25004.14561134619,24857.936312655653,24978.981737826714,25118.109735290003,24913.75985770132,25098.759230715434,25068.711401371107,25252.7398040996,25308.73110749355,25119.484906144862,25014.235756663937,24972.475283078067,24742.373723663786,24691.345037872154,24944.18246365145,24879.51328337238,25131.160091670696,25103.873768578902,25325.78564689689,25425.932225785054,25285.281605038344,25462.749818759927,25448.659919118632,25369.84278216875,25444.212788023935,25449.205964745186,25632.04031218417,25547.950339423336,25715.56772349538,25652.747561401273,25426.111283628812,25409.34551920811,25175.938402417254,25176.798080348137,25042.742800956312,25004.982508049783,25040.78205806867,25027.926958959695,24820.47777143067,25009.339999019983,25098.368909262754,25078.655483618197,25037.02436352756,24927.303532067417,25147.14382480823,25376.823212135238,25470.042531609313,25659.974074606387,25796.317334067244,25715.39000573123,25623.04086815951,25743.192692725966,25846.991189325276,25700.29466116182,25634.85912568093,25549.17872201469,25741.70046060285,25841.26538716485,25550.26178121986,25422.1381668344,25531.71046229536,25468.316252865592,25478.766022758802,25619.904520229386,25652.277859540256,25740.135024281808,25456.53712006848,25423.949645444845,25429.035944434465,25356.051408513544,25306.35464022068,25525.387027473826,25464.932907907216,25239.80529300713,25294.222968020204,25062.66178074434,25289.685715095038,25086.220095679913,24844.213214206124,24808.801164137123,25013.696081453643,25236.389245319384,25238.266173073396,25315.066617207198,25256.571544432354,25014.957569030143,25082.227198675097,25092.991322478283,25189.294259758437,25119.53271876676,25173.085815341004,25108.704419911825,25175.038401484755,25339.884418629274,25440.984562957638,2000.0,4000.0,8999.332028570145,10000.0
25000.0,25077.612904023164,25058.157520078283,24875.854159934963,24952.729189616944,24782.887884685046,24702.130472150842,24604.353488336736,24612.432797154157,24427.882417321896,24227.80149084772,24018.129153043566,24244.44948087117,24225.850076877847,24208.087352478662,24117.640070596404,24249.934159379613,24269.019078606452,24169.45102825251,24390.22615535873,24622.21758739709,24458.19973456318,24369.290543381274,24601.98484742549,24862.84987841441,25070.723660624397,25167.038541154998,25212.77805672878,25305.775136376753,25065.3976935493,25280.1351731685,25175.5079409848,25258.056115694028,25493.773118017256,25232.52425745778,25460.873955668732,25643.21071302638,25389.963657872235,25251.10295318098,25277.461981859098,25464.917558712124,25623.274395901604,25623.851657059466,25768.294630389555,25680.57842197488,25751.195666470776,25786.343183579327,25729.244787454183,25599.224763998212,25628.213335758614,25512.138591495685,25553.332688037735,25551.756285467385,25353.1492909507,25199.749424965423,25390.882092353302,25602.813521784195,25342.115941946522,25533.840248021024,25642.413069543636,25578.012487160035,25449.67174697084,25461.42720673705,25470.98470538976,25539.324546674357,25579.974389547304,25796.40996153572,25968.170990478917,25854.487244672222,25798.87944233355,25918.680404412702,26046.390559007395,26020.842154979822,26111.846468904063,25894.389019659106,25608.81475153308,25496.506546316657,25635.09323139006,25607.474819552106,25502.577715511063,25441.66100621767,25614.110431161163,25341.208018110625,25100.243037562344,24996.177259387892,24867.754281123423,24809.012852462012,24786.465636531295,24942.69333619994,25070.810046040162,25264.34017656259,25208.688389910916,25209.210783071678,25408.94987578374,25186.447377174645,25287.373380988705,25288.635777330423,25424.886502532983,25637.030302177434,25410.8375855697,1127.8454789598645,4000.0,9863.491248239074,10000.0
25000.0,25117.806008829426,24989.427208976187,25162.124250554865,25053.420344483864,24949.924521262576,25157.92586394251,25308.701272918508,25378.955495514987,25211.577779859737,25222.916941758987,25317.469897124603,25445.670295760257,25228.426990676853,24980.567898376947,25034.814320795293,24960.315325218606,24809.845338099683,24759.699702827762,24661.2947912933,24908.94731970849,25111.962533106154,25005.514251173994,24928.283740589894,25142.97421472407,25201.91808114058,25345.47851714402,25134.6728713937,24916.68622256292,25129.12542808386,25049.22619056298,25135.329074647696,25105.06106189666,25065.173347226224,25080.4577433855,25085.582199702832,25101.000413436548,25330.861514146163,25216.372603478798,25023.59272949299,24836.656054367155,24997.70083117446,25090.636542862412,25038.196826990657,25005.333004922733,24911.89744554607,24877.768063667918,25106.02385059071,25187.04853018999,24957.2436963496,24715.94673995993,24646.908235464285,24747.160158351686,24753.366702804375,24911.58542430689,25040.49511666953,24992.068613040392,25194.45446002636,24969.192481851198,24759.073982537913,24949.046223495498,25165.046794939644,24958.562772386158,24847.212193264753,24776.567178981848,24813.065249406514,24811.265348617486,25052.882359842428,25249.76100916575,25438.02222479496,25350.391152115157,25390.527428568483,25601.272869568555,25597.40471826288,25321.882207212086,25151.139612834628,25326.824989919733,25490.63197466036,25713.307103921215,25730.309239552465,25935.69965042818,26030.61537094779,26104.526366911257,26227.962631086375,26133.287938216807,25930.516438299892,25891.72169371108,25836.30054916521,25677.813713745454,25578.987093536736,25779.54587823892,25584.22361623052,25311.60541465406,25313.522662895433,25188.794511354277,25073.712564329788,24879.36454476282,25101.366420668288,25290.186222967142,25199.46797349573,2000.0,998.7914331804686,12000.0,10000.0
25000.0,25052.77527161652,25199.576770532392,25328.84169973629,25288.077949997172,25297.253209340786,25079.826467667415,24872.73679636592,24690.455762783982,24718.304784405253,24736.4042686064,24685.7110163843,24562.686511850447,24400.90869794334,24532.831949806245,24662.981537657153,24536.18981337655,24726.958939535056,24919.98203164481,24941.08073031877,24697.0588770921,24595.163105037373,24438.705359948086,24226.393039347335,24311.271802973126,24154.67237450963,24399.992463423907,24247.17286318637,24317.006617619012,24349.650686245146,24545.167140877762,24762.327847221408,24725.795742042712,24843.618790079803,25023.24581942204,24800.166941673575,24663.33591938625,24733.971446990272,24631.750445472884,24574.026098697148,24457.261428402027,24504.634312687762,24461.448592359204,24433.712144521305,24622.720069845185,24607.150196884588,24688.81722480478,24905.171243231194,24786.760554255827,24909.887445233857,24724.374499253394,24725.251445910108,24560.2662538215,24400.983019077335,24419.051960965917,24464.669598220295,24619.202979261256,24426.032065291147,24328.43462578667,24534.42006917401,24372.579538497102,24542.839631876195,24613.911112606707,24668.86836012549,24887.36058472309,24670.67111534019,24818.982371487502,24947.517392018126,24947.883648418112,24740.256281116654,24680.7370501857,24490.67508395539,24413.78787085665,24359.688315578383,24245.18280968714,24207.87007324354,24212.011707389735,24459.101204365674,24659.658711169457,24525.780787523243,24352.51133934509,24435.879088439553,24361.550178077076,24636.291434513936,24727.384385530822,24855.705330391036,24797.47060091611,25032.156456663208,25018.053393843984,24988.75586130535,24972.29692381851,24899.938214958314,24936.567725787667,24853.384584556472,24780.57481673973,24569.45793684589,24397.875004125865,24665.218338873998,24839.937614908446,25042.618959847467,2000.0,1000.0035830551,12000.0,10000.0
25000.0,24767.827844209565,24530.857613353135,24550.633927899817,24570.219439268643,24473.628490784296,24588.649358315437,24648.688449936817,24637.191026788,24849.354455631492,24888.705104400855,24737.12245718685,24754.6225134149,24934.038250692844,25077.798701982138,25096.061632790228,25066.53951221072,24941.791149344488,24907.820207230798,25054.876241644346,25222.250994753333,25355.21347822727,25238.914831855564,25015.066200978814,24835.918223701392,24698.67149122673,24868.86250029431,24765.68703678836,24978.312251760435,25029.618996140773,25039.95111480835,25151.37931104944,25096.342189554547,24905.14721494598,25087.912185865374,25117.599257060192,25118.916371638385,25305.37542371741,25219.03255433542,25313.12124135927,25503.5012419917,25281.850024472507,25350.853969753607,25103.50689297347,25324.47212199449,25136.446107138392,25168.000352352385,25180.10718949854,25216.287524332965,25164.62812423086,24919.09511967206,25003.411503914445,24966.145051703385,24979.8585066654,24847.21010019948,24938.24154008335,24850.647887331703,24806.939838912414,24720.18058047163,24811.79115559634,24997.05144151216,25134.244830667616,25226.593849132,25380.84581691071,25442.05070014062,25575.343380402865,25711.36975600973,25732.992755720534,25466.861524319876,25619.440945972194,25670.684311755722,25836.091857947144,25784.88828215078,25715.85639501357,25606.373856776485,25675.599255638812,25738.38248064034,25946.88488272249,25681.904135003082,25475.87793777795,25440.252536668104,25173.511668547595,24973.05647892542,24870.31999320414,25023.061504576162,25117.963863530087,25355.077830542312,25295.78431057723,25308.96493715365,25261.04741978039,25378.05053497334,25216.01705470198,25061.713928911395,24905.298212275826,25042.402197142277,25194.26494166102,25219.1332183282,25397.655933298553,25160.328372655295,25266.460572704826,2000.0,3965.607278065726,9082.21378845452,10000.0
25000.0,24766.826846173957,24948.41471864579,25194.880239645958,25184.375716322094,25010.044235757323,25203.434691446226,25290.29128673709,25411.20168771904,25374.401574039,25272.884875682837,25070.57989136137,24925.161025112666,25022.085142950218,25259.390167993308,25165.404241112486,25330.07906004197,25370.455241475855,25586.703799009803,25553.723269737628,25742.95985599803,25748.949923318298,25873.005444896007,25627.551816592884,25838.92810071267,25882.024203974852,26043.239095234738,26087.965322111824,26069.089182531396,25870.380886683342,25862.362159070486,26040.30565374336,25923.977815878832,25974.290978220328,26044.741953217188,25976.079913324524,26073.34707211538,25977.54768170455,26140.843638378155,26071.35361537247,25936.853405112815,25895.736227268088,25628.597612319973,25551.99496671625,25730.039092071944,25763.780325616193,25548.996681190896,25686.039181408276,25524.43013211653,25746.064856601195,25750.466728265714,25581.23218234924,25507.170932025427,25368.937723975716,25351.17993498025,25447.962548854215,25660.179134518643,25546.472976877893,25369.98315858255,25197.014082885307,25160.760961361833,25234.843870880683,25446.53120027019,25176.685979907033,25007.051347489392,25042.81303973428,24964.600477099695,24932.54095204986,25098.656260627034,24884.97531036005,25028.199435520986,25025.70615288779,24885.082130756997,24899.586702435416,24869.527920705757,24897.48192413527,24707.80077606158,24938.906101449425,25038.42272780979,24929.13368037172,24840.867634625287,24970.08090188265,24881.199662898514,25077.135131897354,25113.112805399913,25042.249140651165,24966.74551414611,24742.07702562668,24683.321984591894,24839.943997951457,25017.236987010292,25262.033793611976,25012.205803673285,24907.123095267736,24895.946357791498,24985.10309806243,24840.70927338392,25027.296923400187,25242.33596771003,25037.464332619715,19.160024579806667,3730.043481850028,11999.121230921824,9908.179973299031
